Rank,Driver,Car No.,Starts,Laps,Total time,Laps Led,Status,Points,Avg.Speed,Pit stop,City,Points (F1 Scoring),Points (IMSA Scoring),Race Number
14,Rinus VeeKay,21,18,85,01:42:47.5741,85,Running,16,97.641,2,longbeach,0,183,2
15,Agustin Canapino,78,20,85,01:42:54.4572,85,Running,15,97.532,3,longbeach,0,171,2
16,Pato O'Ward,5,14,85,01:42:56.1377,85,Running,14,97.506,3,longbeach,0,167,2
17,Graham Rahal,15,12,85,01:43:05.6606,85,Running,13,97.355,2,longbeach,0,159,2
18,Sting Ray Robb,41,25,85,01:43:08.7314,85,Running,12,97.307,2,longbeach,0,136,2
19,Kyffin Simpson,4,26,84,01:42:06.5316,84,Running,11,97.139,2,longbeach,0,125,2
20,Nolan Siegel,51,27,84,01:42:09.8320,84,Running,10,97.086,2,longbeach,0,114,2
21,Santino Ferrucci,14,24,84,01:42:12.4251,84,Running,9,97.045,3,longbeach,0,107,2
22,Tom Blomqvist,66,15,84,01:42:28.7772,84,Running,8,96.787,3,longbeach,0,106,2
23,Christian Lundgaard,45,7,84,01:42:34.2538,84,Running,7,96.701,3,longbeach,0,104,2
24,Pietro Fittipaldi,30,19,84,01:42:52.7942,84,Running,6,96.411,3,longbeach,0,82,2
25,Jack Harvey,18,23,83,01:42:31.6976,83,Running,5,95.590,4,longbeach,0,68,2
26,Scott McLaughlin,3,11,71,01:26:53.2828,71,Running,5,96.488,2,longbeach,0,70,2
27,Christian Rasmussen,20,21,14,00:17:23.1996,14,Contact,5,95.080,0,longbeach,0,50,2
1,Pato O'Ward,5,2,80,01:33:22.6191,80,Running,51,116.071,2,midohio,25,382,9
2,Alex Palou,10,1,80,01:33:23.1184,80,Running,44,116.061,2,midohio,18,355,9
3,Scott McLaughlin,3,6,80,01:33:38.7749,80,Running,36,115.738,2,midohio,15,325,9
4,Colton Herta,26,4,80,01:33:47.4916,80,Running,32,115.558,2,midohio,12,308,9
5,Marcus Ericsson,28,5,80,01:33:54.3000,80,Running,30,115.419,2,midohio,10,286,9
6,Alexander Rossi,7,7,80,01:33:54.8634,80,Running,28,115.407,2,midohio,8,274,9
7,Christian Lundgaard,45,9,80,01:33:55.1905,80,Running,26,115.401,2,midohio,6,262,9
8,Kyle Kirkwood,27,14,80,01:33:57.8409,80,Running,24,115.346,2,midohio,4,247,9
9,Christian Rasmussen,20,8,80,01:34:02.9373,80,Running,22,115.242,2,midohio,2,243,9
10,Santino Ferrucci,14,21,80,01:34:09.5275,80,Running,20,115.108,2,midohio,1,220,9
11,Will Power,12,15,80,01:34:11.2737,80,Running,19,115.072,2,midohio,0,216,9
12,David Malukas,66,3,80,01:34:12.0097,80,Running,18,115.057,2,midohio,0,220,9
13,Toby Sowery,51,24,80,01:34:12.5057,80,Running,17,115.047,2,midohio,0,187,9
14,Felix Rosenqvist,60,19,80,01:34:14.4353,80,Running,16,115.008,3,midohio,0,182,9
15,Linus Lundqvist,8,10,80,01:34:16.0985,80,Running,15,114.974,3,midohio,0,181,9
16,Sting Ray Robb,41,25,80,01:34:17.3604,80,Running,14,114.948,2,midohio,0,156,9
17,Marcus Armstrong,11,11,80,01:34:18.4590,80,Running,13,114.926,3,midohio,0,160,9
18,Graham Rahal,15,18,80,01:34:21.4872,80,Running,12,114.865,3,midohio,0,143,9
19,Rinus VeeKay,21,20,80,01:34:23.0741,80,Running,11,114.832,3,midohio,0,131,9
20,Nolan Siegel,6,16,80,01:34:28.4782,80,Running,10,114.723,3,midohio,0,125,9
21,Kyffin Simpson,4,23,80,01:34:29.6604,80,Running,9,114.699,3,midohio,0,108,9
22,Agustin Canapino,78,22,79,01:33:25.8966,79,Running,8,114.554,2,midohio,0,99,9
23,Romain Grosjean,77,12,79,01:33:33.1085,79,Running,7,114.406,2,midohio,0,99,9
24,Pietro Fittipaldi,30,27,79,01:33:35.6225,79,Running,6,114.355,3,midohio,0,74,9
25,Josef Newgarden,2,17,79,01:33:41.0299,79,Running,5,114.245,3,midohio,0,74,9
26,Jack Harvey,18,26,79,01:34:05.1083,79,Running,5,113.758,2,midohio,0,55,9
27,Scott Dixon,9,13,40,01:12:58.7920,40,Mechanical,5,74.256,1,midohio,0,58,9
1,Pato O'Ward,5,6,250,02:03:01.3451,250,Running,53,123.758,4,milwaukee1,25,375,15
2,Will Power,12,5,250,02:03:03.1666,250,Running,41,123.727,4,milwaukee1,18,346,15
3,Conor Daly,78,25,250,02:03:03.7490,250,Running,35,123.718,4,milwaukee1,15,306,15
4,Santino Ferrucci,14,19,250,02:03:18.0349,250,Running,32,123.479,4,milwaukee1,12,292,15
5,Alex Palou,10,12,250,02:03:20.0530,250,Running,30,123.445,4,milwaukee1,10,279,15
6,Linus Lundqvist,8,4,250,02:03:20.5881,250,Running,29,123.436,4,milwaukee1,8,278,15
7,Alexander Rossi,7,3,250,02:03:21.6948,250,Running,26,123.418,4,milwaukee1,6,270,15
8,Scott McLaughlin,3,1,250,02:03:22.4187,250,Running,26,123.406,3,milwaukee1,4,265,15
9,Christian Lundgaard,45,26,250,02:03:22.9163,250,Running,22,123.397,5,milwaukee1,2,225,15
10,Scott Dixon,9,17,250,02:03:23.2204,250,Running,20,123.392,4,milwaukee1,1,224,15
11,Christian Rasmussen,20,23,250,02:03:24.2568,250,Running,19,123.375,4,milwaukee1,0,208,15
12,Kyle Kirkwood,27,15,250,02:03:24.4760,250,Running,18,123.371,4,milwaukee1,0,206,15
13,Felix Rosenqvist,60,8,250,02:03:27.5759,250,Running,17,123.320,4,milwaukee1,0,203,15
14,Rinus VeeKay,21,13,249,02:03:14.6290,249,Running,16,123.041,4,milwaukee1,0,188,15
15,David Malukas,66,2,249,02:03:21.1244,249,Running,15,122.933,4,milwaukee1,0,192,15
16,Jack Harvey,18,14,249,02:03:27.2078,249,Running,14,122.833,4,milwaukee1,0,167,15
17,Nolan Siegel,6,24,249,02:03:27.9442,249,Running,13,122.820,4,milwaukee1,0,147,15
18,Pietro Fittipaldi,30,27,248,02:03:15.1790,248,Running,12,122.538,4,milwaukee1,0,134,15
19,Katherine Legge,51,18,248,02:03:19.5467,248,Running,11,122.466,6,milwaukee1,0,133,15
20,Graham Rahal,15,21,248,02:03:29.2672,248,Running,10,122.305,5,milwaukee1,0,120,15
21,Marcus Armstrong,11,16,247,02:03:02.6933,247,Running,9,122.251,4,milwaukee1,0,115,15
22,Colton Herta,26,10,246,02:03:15.9124,246,Running,9,121.538,6,milwaukee1,0,111,15
23,Sting Ray Robb,41,20,244,02:03:16.2906,244,Running,7,120.544,4,milwaukee1,0,91,15
24,Romain Grosjean,77,9,243,02:03:04.3680,243,Running,6,120.243,5,milwaukee1,0,92,15
25,Kyffin Simpson,4,22,238,02:03:19.0057,238,Running,5,117.536,4,milwaukee1,0,69,15
26,Josef Newgarden,2,11,146,01:09:04.1359,146,Contact,5,128.732,3,milwaukee1,0,70,15
27,Marcus Ericsson,28,7,146,01:09:04.2267,146,Contact,5,128.729,3,milwaukee1,0,64,15
1,Scott McLaughlin,3,2,250,02:06:31.3981,250,Running,53,120.334,6,milwaukee2,25,382,16
2,Scott Dixon,9,17,250,02:06:31.8539,250,Running,40,120.326,5,milwaukee2,18,334,16
3,Colton Herta,26,18,250,02:06:36.5244,250,Running,36,120.252,5,milwaukee2,15,313,16
4,Santino Ferrucci,14,12,250,02:06:42.3810,250,Running,33,120.160,6,milwaukee2,12,299,16
5,Marcus Ericsson,28,16,250,02:06:45.1066,250,Running,30,120.117,6,milwaukee2,10,275,16
6,Alexander Rossi,7,6,250,02:06:45.7286,250,Running,29,120.107,5,milwaukee2,8,275,16
7,Rinus VeeKay,21,15,250,02:06:46.5983,250,Running,26,120.093,5,milwaukee2,6,256,16
8,Kyle Kirkwood,27,19,250,02:06:46.7200,250,Running,24,120.091,6,milwaukee2,4,242,16
9,Romain Grosjean,77,14,250,02:06:47.5994,250,Running,22,120.077,5,milwaukee2,2,237,16
10,Will Power,12,4,250,02:06:51.2558,250,Running,21,120.020,7,milwaukee2,1,238,16
11,Felix Rosenqvist,60,8,249,02:06:53.2242,249,Running,19,119.509,6,milwaukee2,0,223,16
12,Christian Lundgaard,45,25,248,02:06:44.7912,248,Running,18,119.161,6,milwaukee2,0,196,16
13,Kyffin Simpson,4,24,248,02:06:50.1355,248,Running,17,119.077,5,milwaukee2,0,187,16
14,Jack Harvey,18,13,247,02:06:48.2333,247,Running,16,118.626,4,milwaukee2,0,188,16
15,Katherine Legge,51,22,246,02:06:51.9006,246,Running,16,118.089,4,milwaukee2,0,169,16
16,Christian Rasmussen,20,23,243,02:06:41.0040,243,Running,14,116.816,5,milwaukee2,0,158,16
17,Conor Daly,78,20,230,02:04:22.7112,230,Retired,13,112.616,5,milwaukee2,0,151,16
18,Sting Ray Robb,41,21,221,01:53:03.4362,221,Contact,12,119.045,4,milwaukee2,0,140,16
19,Alex Palou,10,10,221,02:06:53.7919,221,Running,11,106.062,5,milwaukee2,0,141,16
20,Linus Lundqvist,8,5,215,01:48:42.8478,215,Contact,10,120.440,4,milwaukee2,0,136,16
21,Pietro Fittipaldi,30,27,181,01:39:19.4142,181,Mechanical,9,110.980,4,milwaukee2,0,104,16
22,David Malukas,66,9,126,02:00:49.3725,126,Mechanical,8,63.509,2,milwaukee2,0,112,16
23,Graham Rahal,15,26,123,01:04:51.4228,123,Contact,7,115.496,3,milwaukee2,0,85,16
24,Pato O'Ward,5,7,87,00:48:53.1117,87,Mechanical,6,108.383,1,milwaukee2,0,94,16
25,Nolan Siegel,6,11,24,00:22:39.9624,24,Mechanical,5,64.484,0,milwaukee2,0,80,16
26,Marcus Armstrong,11,3,6,00:04:44.6808,6,Contact,5,77.013,0,milwaukee2,0,80,16
27,Josef Newgarden,2,1,5,00:03:47.4774,5,Contact,7,80.316,0,milwaukee2,0,75,16
1,Colton Herta,26,9,206,01:43:15.2534,206,Running,51,159.207,4,nashville,25,372,17
2,Pato O'Ward,5,7,206,01:43:17.0640,206,Running,41,159.161,4,nashville,18,344,17
3,Josef Newgarden,2,2,206,01:43:17.2145,206,Running,36,159.157,4,nashville,15,332,17
4,Kyle Kirkwood,27,1,206,01:43:19.9709,206,Running,36,159.086,3,nashville,12,315,17
5,Scott McLaughlin,3,18,206,01:43:23.0371,206,Running,30,159.007,4,nashville,10,273,17
6,Santino Ferrucci,14,14,206,01:43:24.4870,206,Running,28,158.970,4,nashville,8,267,17
7,Marcus Armstrong,11,12,206,01:43:29.6404,206,Running,26,158.838,3,nashville,6,259,17
8,Linus Lundqvist,8,8,206,01:43:29.9053,206,Running,24,158.831,4,nashville,4,253,17
9,David Malukas,66,5,206,01:43:30.5260,206,Running,23,158.816,3,nashville,2,246,17
10,Conor Daly,78,6,205,01:43:18.9149,205,Running,20,158.341,3,nashville,1,235,17
11,Alex Palou,10,24,205,01:43:29.5905,205,Running,19,158.068,4,nashville,0,207,17
12,Rinus VeeKay,21,10,205,01:43:32.1299,205,Running,18,158.004,4,nashville,0,211,17
13,Jack Harvey,18,20,205,01:43:34.0733,205,Running,17,157.954,3,nashville,0,191,17
14,Christian Rasmussen,20,25,205,01:43:34.5803,205,Running,16,157.941,3,nashville,0,176,17
15,Alexander Rossi,7,26,205,01:43:37.8089,205,Running,16,157.859,4,nashville,0,165,17
16,Romain Grosjean,77,13,204,01:43:25.4584,204,Running,14,157.402,4,nashville,0,168,17
17,Scott Dixon,9,11,204,01:43:27.8090,204,Running,13,157.342,3,nashville,0,160,17
18,Nolan Siegel,6,27,204,01:43:29.2187,204,Running,12,157.307,4,nashville,0,134,17
19,Christian Lundgaard,45,21,204,01:43:31.2500,204,Running,11,157.255,4,nashville,0,130,17
20,Sting Ray Robb,41,23,204,01:43:31.4682,204,Running,10,157.250,3,nashville,0,118,17
21,Pietro Fittipaldi,30,16,204,01:43:33.6153,204,Running,9,157.195,5,nashville,0,115,17
22,Kyffin Simpson,4,17,202,01:43:20.9025,202,Running,8,155.973,5,nashville,0,104,17
23,Graham Rahal,15,19,202,01:43:32.0545,202,Running,7,155.693,4,nashville,0,92,17
24,Will Power,12,4,198,01:43:24.6827,198,Running,6,152.792,6,nashville,0,98,17
25,Marcus Ericsson,28,15,137,01:19:42.9340,137,Contact,5,137.145,3,nashville,0,76,17
26,Katherine Legge,51,22,85,00:43:09.5186,85,Contact,5,157.164,2,nashville,0,59,17
27,Felix Rosenqvist,60,3,55,00:23:12.4834,55,Contact,5,189.115,0,nashville,0,70,17
1,Will Power,12,2,110,01:55:34.1948,110,Running,53,112.161,3,portland,25,382,14
2,Alex Palou,10,3,110,01:55:44.0215,110,Running,41,112.002,3,portland,18,350,14
3,Josef Newgarden,2,5,110,01:55:57.3994,110,Running,36,111.787,3,portland,15,326,14
4,Colton Herta,26,8,110,01:56:11.2987,110,Running,33,111.564,3,portland,12,303,14
5,Marcus Armstrong,11,7,110,01:56:12.2282,110,Running,31,111.549,3,portland,10,284,14
6,Marcus Ericsson,28,10,110,01:56:14.9635,110,Running,28,111.505,3,portland,8,271,14
7,Scott McLaughlin,3,20,110,01:56:16.5446,110,Running,26,111.480,3,portland,6,251,14
8,Santino Ferrucci,14,1,110,01:56:19.0504,110,Running,25,111.440,3,portland,4,265,14
9,Graham Rahal,15,12,110,01:56:23.7759,110,Running,22,111.364,3,portland,2,239,14
10,Kyle Kirkwood,27,11,110,01:56:25.1935,110,Running,20,111.342,3,portland,1,230,14
11,Rinus VeeKay,21,14,110,01:56:26.3708,110,Running,19,111.323,3,portland,0,217,14
12,Alexander Rossi,7,17,110,01:56:26.6927,110,Running,18,111.318,3,portland,0,204,14
13,Christian Lundgaard,45,4,110,01:56:29.6915,110,Running,17,111.270,3,portland,0,208,14
14,Felix Rosenqvist,60,18,110,01:56:30.9554,110,Running,16,111.250,3,portland,0,183,14
15,Pato O'Ward,5,22,110,01:56:32.5878,110,Running,15,111.224,3,portland,0,169,14
16,Kyffin Simpson,4,28,110,01:56:33.6799,110,Running,14,111.207,3,portland,0,153,14
17,Toby Sowery,51,19,109,01:55:41.8278,109,Running,13,111.019,3,portland,0,152,14
18,Sting Ray Robb,41,24,109,01:55:50.3948,109,Running,12,110.882,3,portland,0,137,14
19,Juri Vips,75,15,109,01:55:51.5976,109,Running,11,110.863,3,portland,0,136,14
20,David Malukas,66,25,109,01:55:56.2806,109,Running,10,110.788,3,portland,0,116,14
21,Nolan Siegel,6,23,109,01:56:05.2629,109,Running,9,110.645,4,portland,0,108,14
22,Conor Daly,78,26,109,01:56:05.9333,109,Running,8,110.635,3,portland,0,95,14
23,Linus Lundqvist,8,21,109,01:56:06.0097,109,Running,7,110.633,4,portland,0,90,14
24,Jack Harvey,18,27,109,01:56:08.9787,109,Running,6,110.586,3,portland,0,74,14
25,Pietro Fittipaldi,30,13,109,01:56:10.6786,109,Running,5,110.559,3,portland,0,78,14
26,Christian Rasmussen,20,16,108,01:55:47.7240,108,Running,5,109.907,3,portland,0,65,14
27,Romain Grosjean,77,6,107,01:55:45.8508,107,Running,5,108.919,4,portland,0,65,14
28,Scott Dixon,9,9,0,00:00:00.9315,0,Contact,5,0.000,0,portland,0,52,14
1,Will Power,12,5,55,01:45:00.0267,55,Running,51,126.154,3,roadamerica,25,376,7
2,Josef Newgarden,2,6,55,01:45:03.2876,55,Running,41,126.088,3,roadamerica,18,345,7
3,Scott McLaughlin,3,8,55,01:45:08.0415,55,Running,38,125.993,3,roadamerica,15,323,7
4,Alex Palou,10,7,55,01:45:16.7385,55,Running,33,125.820,3,roadamerica,12,304,7
5,Kyle Kirkwood,27,4,55,01:45:24.8929,55,Running,31,125.658,3,roadamerica,10,288,7
6,Colton Herta,26,2,55,01:45:28.4049,55,Running,29,125.588,5,roadamerica,8,282,7
7,Romain Grosjean,77,14,55,01:45:29.2977,55,Running,26,125.570,3,roadamerica,6,257,7
8,Pato O'Ward,5,11,55,01:45:30.3376,55,Running,24,125.550,4,roadamerica,4,250,7
9,Marcus Ericsson,28,15,55,01:45:35.6527,55,Running,22,125.444,3,roadamerica,2,236,7
10,Graham Rahal,15,24,55,01:45:42.8661,55,Running,20,125.302,4,roadamerica,1,217,7
11,Christian Lundgaard,45,13,55,01:45:46.4711,55,Running,19,125.231,3,roadamerica,0,218,7
12,Linus Lundqvist,8,1,55,01:45:46.8374,55,Running,19,125.223,5,roadamerica,0,225,7
13,Theo Pourchaire,6,18,55,01:45:54.5549,55,Running,17,125.071,3,roadamerica,0,193,7
14,Felix Rosenqvist,60,22,55,01:45:59.2679,55,Running,17,124.979,3,roadamerica,0,179,7
15,Santino Ferrucci,14,19,55,01:46:03.7603,55,Running,15,124.890,3,roadamerica,0,172,7
16,Pietro Fittipaldi,30,25,55,01:46:04.7428,55,Running,14,124.871,3,roadamerica,0,156,7
17,Sting Ray Robb,41,26,55,01:46:08.4656,55,Running,13,124.798,3,roadamerica,0,145,7
18,Alexander Rossi,7,9,55,01:46:15.0693,55,Running,12,124.669,3,roadamerica,0,152,7
19,Helio Castroneves,66,27,55,01:46:15.7185,55,Running,11,124.656,3,roadamerica,0,124,7
20,Christian Rasmussen,20,16,55,01:46:19.0968,55,Running,10,124.590,3,roadamerica,0,125,7
21,Scott Dixon,9,10,55,01:46:24.5021,55,Running,9,124.485,3,roadamerica,0,121,7
22,Luca Ghiotto,51,23,55,01:46:40.1879,55,Running,8,124.179,5,roadamerica,0,98,7
23,Nolan Siegel,78,21,54,01:45:10.1790,54,Running,7,123.661,5,roadamerica,0,90,7
24,Rinus VeeKay,21,17,53,01:45:21.9506,53,Running,6,121.145,3,roadamerica,0,84,7
25,Jack Harvey,18,20,51,01:46:28.2869,51,Running,5,115.363,3,roadamerica,0,71,7
26,Marcus Armstrong,11,3,35,01:10:34.4531,35,Mechanical,5,119.440,3,roadamerica,0,80,7
27,Kyffin Simpson,4,12,5,00:13:08.8502,5,Contact,5,91.592,0,roadamerica,0,59,7
1,Pato O'Ward,5,3,100,01:51:37.5075,100,Running,50,96.752,2,stpetersburg,25,380,1
2,Will Power,12,8,100,01:51:38.6513,100,Running,30,96.736,2,stpetersburg,18,343,1
3,Colton Herta,26,4,100,01:51:39.8532,100,Running,36,96.719,2,stpetersburg,15,328,1
4,Alex Palou,10,13,100,01:51:41.3990,100,Running,32,96.696,2,stpetersburg,12,298,1
5,Felix Rosenqvist,60,2,100,01:51:43.9998,100,Running,30,96.659,2,stpetersburg,10,292,1
6,Alexander Rossi,7,15,100,01:51:45.3807,100,Running,28,96.639,2,stpetersburg,8,266,1
7,Scott Dixon,9,11,100,01:51:45.8918,100,Running,26,96.631,2,stpetersburg,6,260,1
8,Rinus VeeKay,21,7,100,01:51:48.4300,100,Running,24,96.595,2,stpetersburg,4,254,1
9,Santino Ferrucci,14,14,100,01:51:52.6391,100,Running,22,96.534,2,stpetersburg,2,237,1
10,Kyle Kirkwood,27,18,100,01:51:54.1830,100,Running,20,96.512,2,stpetersburg,1,223,1
11,Callum Ilott,6,16,100,01:51:58.3067,100,Running,19,96.453,2,stpetersburg,0,215,1
12,Kyffin Simpson,4,23,100,01:51:59.1616,100,Running,18,96.441,2,stpetersburg,0,198,1
13,Pietro Fittipaldi,30,26,100,01:52:02.4129,100,Running,17,96.394,2,stpetersburg,0,185,1
14,Graham Rahal,15,22,100,01:52:04.2909,100,Running,16,96.367,3,stpetersburg,0,179,1
15,Tom Blomqvist,66,17,100,01:52:10.0680,100,Running,15,96.284,2,stpetersburg,0,174,1
16,Agustin Canapino,78,20,100,01:52:11.7201,100,Running,14,96.261,2,stpetersburg,0,161,1
17,Jack Harvey,18,27,100,01:52:18.9407,100,Running,13,96.158,2,stpetersburg,0,144,1
18,Christian Lundgaard,45,12,100,01:52:28.3301,100,Running,13,96.024,3,stpetersburg,0,149,1
19,Christian Rasmussen,20,21,99,01:52:21.5301,99,Running,11,95.159,2,stpetersburg,0,130,1
20,Colin Braun,51,25,99,01:52:27.0026,99,Running,10,95.082,2,stpetersburg,0,116,1
21,Linus Lundqvist,8,19,97,01:52:27.7687,97,Running,9,93.151,2,stpetersburg,0,112,1
22,Romain Grosjean,77,5,82,01:33:29.4950,82,Mechanical,8,94.725,2,stpetersburg,0,116,1
23,Marcus Ericsson,28,6,52,00:59:35.2774,52,Mechanical,7,94.247,1,stpetersburg,0,105,1
24,Sting Ray Robb,41,24,33,00:37:17.3009,33,Off course,6,95.579,1,stpetersburg,0,77,1
25,Marcus Armstrong,11,10,25,00:26:07.8934,25,Contact,5,103.323,0,stpetersburg,0,81,1
26,Josef Newgarden,2,1,0,00:00:00.0000,0,DSQ,1,0.000,0,stpetersburg,0,85,1
27,Scott McLaughlin,3,9,0,00:00:00.7207,0,DSQ,0,0.000,0,stpetersburg,0,62,1
1,Colton Herta,26,1,85,01:39:28.4293,85,Running,54,91.568,2,toronto,25,385,12
2,Kyle Kirkwood,27,2,85,01:39:28.7762,85,Running,40,91.562,2,toronto,18,352,12
3,Scott Dixon,9,15,85,01:39:29.3973,85,Running,36,91.553,2,toronto,15,316,12
4,Alex Palou,10,18,85,01:39:30.1204,85,Running,32,91.542,2,toronto,12,293,12
5,Marcus Armstrong,11,13,85,01:39:31.2012,85,Running,30,91.525,2,toronto,10,278,12
6,David Malukas,66,6,85,01:39:31.5146,85,Running,28,91.520,2,toronto,8,275,12
7,Christian Lundgaard,45,16,85,01:39:32.3218,85,Running,26,91.508,2,toronto,6,255,12
8,Rinus VeeKay,21,22,85,01:39:33.0639,85,Running,24,91.497,3,toronto,4,239,12
9,Romain Grosjean,77,5,85,01:39:34.0830,85,Running,22,91.481,2,toronto,2,246,12
10,Graham Rahal,15,8,85,01:39:34.5749,85,Running,20,91.474,3,toronto,1,233,12
11,Josef Newgarden,2,7,85,01:39:38.9217,85,Running,19,91.407,3,toronto,0,224,12
12,Will Power,12,9,85,01:39:39.9848,85,Running,18,91.391,2,toronto,0,212,12
13,Linus Lundqvist,8,24,84,01:39:35.1306,84,Running,17,90.389,4,toronto,0,187,12
14,Theo Pourchaire,7,26,84,01:39:35.5503,84,Running,16,90.383,5,toronto,0,175,12
15,Toby Sowery,51,21,84,01:39:35.9040,84,Running,15,90.377,3,toronto,0,170,12
16,Scott McLaughlin,3,4,76,01:28:10.8618,76,Contact,14,92.357,2,toronto,0,178,12
17,Pato O'Ward,5,14,72,01:21:44.4725,72,Contact,13,94.390,2,toronto,0,157,12
18,Marcus Ericsson,28,11,72,01:21:46.8808,72,Contact,13,94.343,2,toronto,0,150,12
19,Pietro Fittipaldi,30,23,72,01:21:49.6394,72,Contact,11,94.290,2,toronto,0,128,12
20,Santino Ferrucci,14,17,72,01:21:50.1026,72,Contact,10,94.281,4,toronto,0,124,12
21,Nolan Siegel,6,19,72,01:21:50.7316,72,Contact,9,94.269,3,toronto,0,112,12
22,Kyffin Simpson,4,20,66,01:14:02.5914,66,Contact,8,95.519,2,toronto,0,101,12
23,Felix Rosenqvist,60,3,63,01:10:40.7835,63,Mechanical,7,95.517,2,toronto,0,110,12
24,Hunter McElrea,18,25,57,01:04:49.1748,57,Contact,6,94.233,2,toronto,0,76,12
25,Sting Ray Robb,41,27,13,00:17:46.8887,13,Mechanical,5,78.344,0,toronto,0,64,12
26,Agustin Canapino,78,10,4,00:06:13.8674,4,Contact,5,68.790,0,toronto,0,71,12
27,Christian Rasmussen,20,12,0,00:00:01.2612,0,Contact,5,0.000,0,toronto,0,59,12
